UNIT_ID,FIRE_NAME,CAUSE,ALARM_DATE_Con
Sierra National Forest,ROUGH,1 - Lightning,7/31/2015
Sonoma - Lake - Napa CDF,VALLEY ,14 - Unknown / Unidentified,9/12/2015
Amador - El Dorado CDF,BUTTE,14 - Unknown / Unidentified,9/10/2015
Sonoma - Lake - Napa CDF,ROCKY  ,9 - Miscellaneous,7/29/2015
Shasta-Trinity National Forest,HAPPY,1 - Lightning,7/30/2015
San Bernardino National Forest,LAKE,9 - Miscellaneous,6/17/2015
Sonoma - Lake - Napa CDF,JERUSALEM ,14 - Unknown / Unidentified,8/9/2015
Six Rivers National Forest,LASSICS,1 - Lightning,7/30/2015
Shasta-Trinity National Forest,JOHNSON,1 - Lightning,7/30/2015
Humbolt-Toiyabe National Forest,WASHINGTON,1 - Lightning,7/19/2015
Shasta-Trinity National Forest,SHEILL,1 - Lightning,7/30/2015
Shasta-Trinity National Forest,CASTLE,4 - Campfire,6/23/2015
Shasta-Trinity National Forest,PATTISON,1 - Lightning,7/30/2015
Six Rivers National Forest,BEAR,1 - Lightning,7/31/2015
Six Rivers National Forest,PEAK,1 - Lightning,8/1/2015
Six Rivers National Forest,BLAKE,1 - Lightning,7/30/2015
Six Rivers National Forest,PICKETT,1 - Lightning,7/30/2015
Northern CA District - BLM,DODGE,2 - Equipment Use,8/3/2015
Shasta-Trinity National Forest,RAIL,1 - Lightning,7/30/2015
Six Rivers National Forest,GOBBLER,1 - Lightning,7/30/2015
Sonoma - Lake - Napa CDF,WRAGG ,10 - Vehicle,7/22/2015
Six Rivers National Forest,NICKOWITZ,1 - Lightning,8/1/2015
Sequoia National Forest,CABIN SEQ,1 - Lightning,7/19/2015
Six Rivers National Forest,GROVES,1 - Lightning,7/30/2015
San Bernardino CDF,ROUND,9 - Miscellaneous,2/7/2015
Shasta-Trinity National Forest,PEAK SHA,1 - Lightning,7/30/2015
Sierra National Forest,WILLOW,8 - Playing with fire,7/25/2015
Six Rivers National Forest,COON,1 - Lightning,8/1/2015
Modoc National Forest,FROG,1 - Lightning,7/30/2015
San Bernardino National Forest,NORTH,9 - Miscellaneous,7/17/2015
Shasta-Trinity National Forest,PELLETREAU,1 - Lightning,7/30/2015
Inyo National Forest,WALKER,9 - Miscellaneous,8/14/2015
Shasta-Trinity National Forest,DOG,1 - Lightning,7/30/2015
Santa Clara CDF,TESLA,14 - Unknown / Unidentified,8/19/2015
Shasta-Trinity National Forest,BLUE,1 - Lightning,7/30/2015
San Luis Obispo CDF,CUESTA,10 - Vehicle,8/16/2015
Nevada - Yuba - Placer CDF,LOWELL,14 - Unknown / Unidentified,7/25/2015
San Luis Obispo CDF,PARKHILL,10 - Vehicle,6/20/2015
Humboldt - Del Norte CDF,PINE 1-44,1 - Lightning,7/30/2015
Madera - Mariposa CDF,MCCABE,1 - Lightning,7/18/2015
Shasta-Trinity National Forest,SADDLE,1 - Lightning,6/9/2015
Six Rivers National Forest,EAST,1 - Lightning,7/30/2015
Angeles National Forest,CABIN,9 - Miscellaneous,8/14/2015
Six Rivers National Forest,BUCK,1 - Lightning,7/30/2015
Humboldt - Del Norte CDF,STEELHEAD 1-54,1 - Lightning,7/30/2015
Ventura County,SOLIMAR,11 - Powerline,12/25/2015
Monterey - San Benito CDF,TASSAJARA,7 - Arson,9/19/2015
Riverside CDF,HIGHWAY,4 - Campfire,4/18/2015
Butte CDF,LUMPKIN,7 - Arson,9/11/2015
Madera - Mariposa CDF,CORRINE,11 - Powerline,6/18/2015
Butte CDF,MERIDIAN,2 - Equipment Use,10/13/2015
Six Rivers National Forest,FEEDER,1 - Lightning,8/2/2015
Humboldt - Del Norte CDF,DOBBYN 1-57,1 - Lightning,7/30/2015
Shasta-Trinity National Forest,DYER,1 - Lightning,7/30/2015
Monterey - San Benito CDF,CIENEGA,11 - Powerline,10/12/2015
Shasta-Trinity National Forest,CLARK,1 - Lightning,7/30/2015
Sonoma - Lake - Napa CDF,ELK,2 - Equipment Use,9/2/2015
Six Rivers National Forest,CASTLE 1,1 - Lightning,7/30/2015
,LOCUST,7 - Arson,7/27/2015
Six Rivers National Forest,SUMMIT,1 - Lightning,8/2/2015
Riverside CDF,ANZA,10 - Vehicle,8/10/2015
Inyo National Forest,VAN DYKE,14 - Unknown / Unidentified,2/6/2015
Shasta-Trinity National Forest,KERLIN,1 - Lightning,7/30/2015
Sierra National Forest,SKY,2 - Equipment Use,6/18/2015
Tuolumne - Calaveras CDF,TRIPLE FIRE,1 - Lightning,7/21/2015
Los Angeles County,POPPY,14 - Unknown / Unidentified,6/5/2015
Yosemite National Park,TENAYA,1 - Lightning,7/9/2015
Shasta-Trinity National Forest,OLSEN,1 - Lightning,7/30/2015
Siskiyou CDF,YORK,1 - Lightning,7/4/2015
Butte CDF,SWEDES,7 - Arson,7/25/2015
Shasta-Trinity National Forest,ROAD,1 - Lightning,7/30/2015
Los Angeles County,CALGROVE,14 - Unknown / Unidentified,6/24/2015
Amador - El Dorado CDF,IONE,7 - Arson,7/2/2015
Yosemite National Park,MIDDLE,1 - Lightning,7/27/2015
Humboldt - Del Norte CDF,BLOCKSBURG 1-58,1 - Lightning,7/30/2015
Humboldt - Del Norte CDF,WILDCAT 1-51,1 - Lightning,7/30/2015
Los Padres National Forest,CHORRO,2 - Equipment Use,8/2/2015
Angeles National Forest,WARM,7 - Arson,8/16/2015
Sequoia - Kings Canyon NP,BIG FIVE,1 - Lightning,6/17/2015
Six Rivers National Forest,TIERNEY,1 - Lightning,7/30/2015
Shasta-Trinity National Forest,YORK,1 - Lightning,7/30/2015
Los Angeles County,LINCOLN,14 - Unknown / Unidentified,8/16/2015
Sonoma - Lake - Napa CDF,PACHECO,10 - Vehicle,9/9/2015
Orange County,<Null>,2 - Equipment Use,7/13/2015
Santa Barbara County,MESA,8 - Playing with fire,6/29/2015
Shasta-Trinity National Forest,STEPHENS,5 - Debris,2/24/2015
Tuolumne - Calaveras CDF,BIG CREEK,5 - Debris,7/29/2015
Humboldt - Del Norte CDF,BLUFORD 1-55,1 - Lightning,7/30/2015
Ventura County,RUSTIC,<Null>,8/14/2015
Riverside CDF,MERWIN,14 - Unknown / Unidentified,7/1/2015
Shasta - Trinity CDF,CHINA,2 - Equipment Use,7/29/2015
Angeles National Forest,PINES,9 - Miscellaneous,7/17/2015
Shasta-Trinity National Forest,MINERS,1 - Lightning,7/30/2015
San Diego CDF,WILDCAT,14 - Unknown / Unidentified,6/17/2015
Ventura County,RIVER,1 - Lightning,6/22/2015
Tehama - Glenn CDF,BLACK,14 - Unknown / Unidentified,7/4/2015
Sequoia - Kings Canyon NP,BURNT,1 - Lightning,10/20/2015
Six Rivers National Forest,CHANCE,1 - Lightning,7/30/2015
Humboldt - Del Norte CDF,QUEEN,7 - Arson,7/25/2015
Cleveland National Forest,CUTCA,1 - Lightning,7/16/2015
Humboldt - Del Norte CDF,WINCHESTER 1-47,1 - Lightning,7/30/2015
Humboldt - Del Norte CDF,HORSE FIRE,14 - Unknown / Unidentified,8/18/2015
Nevada - Yuba - Placer CDF,COOK,18 - Escaped Prescribed Burn,6/18/2015
Sonoma - Lake - Napa CDF,PETERSON ,2 - Equipment Use,8/22/2015
Fresno-Kings CDF,CREEK,<Null>,9/9/2015
Madera - Mariposa CDF,RED,5 - Debris,6/21/2015
Plumas National Forest,WARD,14 - Unknown / Unidentified,6/2/2015
Shasta-Trinity National Forest,PANTHER,1 - Lightning,7/30/2015
Shasta - Trinity CDF,DEMOCRAT,14 - Unknown / Unidentified,8/25/2015
San Bernardino National Forest,STERLING,9 - Miscellaneous,6/25/2015
Mendocino CDF,CLUB,5 - Debris,4/2/2015
Northern CA District - BLM,SHINN,1 - Lightning,6/30/2015
Tuolumne - Calaveras CDF,OAK FLAT,<Null>,9/8/2015
Klamath National Forest,FRYING PAN,1 - Lightning,8/11/2014
Eldorado National Forest,KING,7 - Arson,9/13/2014
Lassen National Forest,BALD,1 - Lightning,7/30/2014
<Null>,OREGON GULCH,1 - Lightning,7/30/2014
Klamath National Forest,WHITES,1 - Lightning,7/30/2014
Klamath National Forest,BEAVER,1 - Lightning,7/30/2014
Lassen National Forest,EILER,9 - Miscellaneous,7/31/2014
Northern CA District - BLM,COLEMAN,1 - Lightning,7/1/2014
Marine camp Pendleton,PULGAS-BASILONE COMPLEX,<Null>,5/19/2014
Sierra National Forest,FRENCH,4 - Campfire,7/27/2014
Lassen - Modoc CDF,DAY,1 - Lightning,7/30/2014
Shasta - Trinity CDF,BULLY,10 - Vehicle,7/11/2014
Mendocino CDF,LODGE,1 - Lightning,7/30/2014
Sonoma - Lake - Napa CDF,MONTICELLO,14 - Unknown / Unidentified,7/4/2014
Shasta-Trinity National Forest,COFFEE,1 - Lightning,7/29/2014
Klamath National Forest,LITTLE DEER,1 - Lightning,7/30/2014
Marine camp Pendleton,TOMAHAWK- BASILONE COMPLEX,<Null>,5/19/2014
Yosemite National Park,MEADOW,1 - Lightning,7/20/2014
Yosemite National Park,EL PORTAL,14 - Unknown / Unidentified,7/26/2014
Sonoma - Lake - Napa CDF,BUTTS,14 - Unknown / Unidentified,7/1/2014
Amador - El Dorado CDF,SAND,10 - Vehicle,7/26/2014
Kern County,WAY,14 - Unknown / Unidentified,8/18/2014
Klamath National Forest,LOG,1 - Lightning,7/30/2014
Sequoia National Forest,SHIRLEY,9 - Miscellaneous,6/13/2014
San Diego CDF,COCOS,14 - Unknown / Unidentified,5/14/2014
Angeles National Forest,COLBY,4 - Campfire,1/16/2014
Sequoia National Forest,NICOLLS,9 - Miscellaneous,7/11/2014
Marine camp Pendleton,COMBAT-BASILONE COMPLEX,<Null>,5/19/2014
Sequoia National Forest,SODA,9 - Miscellaneous,1/13/2014
Modoc National Forest,GULCH ,6 - Railroad,7/3/2014
Shasta - Trinity CDF,GULCH,10 - Vehicle,9/10/2014
San Diego CDF,BERNARDO,2 - Equipment Use,5/13/2014
Yosemite National Park,DARK HOLE,1 - Lightning,7/16/2015
Northern CA District - BLM,MALT,1 - Lightning,7/23/2014
Cleveland National Forest,SILVERADO,9 - Miscellaneous,9/12/2014
Lassen National Forest,CAMPBELL,4 - Campfire,1/2/2014
Madera - Mariposa CDF,HUNTER FIRE,14 - Unknown / Unidentified,5/26/2014
Modoc National Forest,DALTON,1 - Lightning,7/1/2014
Santa Barbara County,MIGUELITO,11 - Powerline,5/13/2014
Madera - Mariposa CDF,JUNCTION FIRE,14 - Unknown / Unidentified,8/18/2014
City of Weed Vol. Fire Dept.,BOLES,7 - Arson,9/15/2014
Shasta - Trinity CDF,OREGON,10 - Vehicle,8/24/2014
Nevada - Yuba - Placer CDF,APPLEGATE,14 - Unknown / Unidentified,10/8/2014
Modoc National Forest,DOBIE,1 - Lightning,7/1/2014
San Diego CDF,HIGHWAY,14 - Unknown / Unidentified,5/14/2014
Mendocino CDF,BLACK,2 - Equipment Use,9/13/2014
Butte CDF,WEB,2 - Equipment Use,7/28/2014
San Diego CDF,POINSETTIA,14 - Unknown / Unidentified,5/14/2014
Sonoma - Lake - Napa CDF,31,14 - Unknown / Unidentified,8/9/2014
Butte CDF,NELSON,11 - Powerline,9/18/2014
Humboldt - Del Norte CDF,RED,5 - Debris,1/4/2014
Yosemite National Park,DOG ROCK,14 - Unknown / Unidentified,10/7/2014
Madera - Mariposa CDF,COURTNEY FIRE,5 - Debris,9/14/2014
Cleveland National Forest,GUN,9 - Miscellaneous,3/8/2014
Madera - Mariposa CDF,BRIDGE FIRE,10 - Vehicle,9/5/2014
Angeles National Forest,TECOLOTE,9 - Miscellaneous,8/17/2014
Sacramento National Wildlife Refuge,TRACT 17,18 - Escaped Prescribed Burn,9/17/2014
Nevada - Yuba - Placer CDF,DOGBAR,14 - Unknown / Unidentified,9/13/2014
Bitter Creek National Wildlife Refuge,SCHOOL,9 - Miscellaneous,4/30/2014
Hoopa Valley Tribe,BALD HILL 3,10 - Vehicle,9/12/2014
Monterey - San Benito CDF,ENCINAL,18 - Escaped Prescribed Burn,3/19/2014
Angeles National Forest,SHOEMAKER,1 - Lightning,8/14/2014
San Diego CDF,BANNER,14 - Unknown / Unidentified,7/3/2014
Klamath National Forest,KEMPER,1 - Lightning,8/11/2014
San Diego CDF,RIVER,14 - Unknown / Unidentified,5/14/2014
Modoc National Forest,NORTHERN ,1 - Lightning,7/2/2014
Los Angeles County,PINE  FIRE,10 - Vehicle,3/15/2014
Kern National Wildlife Refuge,CORCORAN,14 - Unknown / Unidentified,8/17/2014
San Bernardino CDF,BRIDGES,14 - Unknown / Unidentified,4/19/2014
Madera - Mariposa CDF,HAIGH FIRE,5 - Debris,6/10/2014
Nevada - Yuba - Placer CDF,BREWER,10 - Vehicle,1/22/2014
Fresno-Kings CDF,LAKE,14 - Unknown / Unidentified,1/25/2014
Modoc National Forest,LITTLE ,1 - Lightning,8/12/2014
Stanislaus National Forest,RIM,4 - Campfire,8/17/2013
Angeles National Forest,POWERHOUSE,9 - Miscellaneous,5/30/2013
San Bernardino National Forest,MOUNTAIN,9 - Miscellaneous,7/15/2013
Tahoe National Forest,AMERICAN,9 - Miscellaneous,8/10/2013
Ventura County,SPRINGS,14 - Unknown / Unidentified,5/2/2013
Sierra National Forest,ASPEN,1 - Lightning,7/22/2013
Six Rivers National Forest,BUTLER,7 - Arson,7/31/2013
Riverside CDF,SILVER,14 - Unknown / Unidentified,8/7/2013
Klamath National Forest,SALMON COMPLEX,7 - Arson,7/31/2013
Humbolt-Toiyabe National Forest,SPRING PEAK,1 - Lightning,8/18/2013
Six Rivers National Forest,CORRAL,1 - Lightning,8/10/2013
Tehama - Glenn CDF,DEER,9 - Miscellaneous,8/23/2013
Shasta - Trinity CDF,CLOVER,7 - Arson,9/9/2013
San Diego CDF,CHARIOT,14 - Unknown / Unidentified,7/6/2013
Butte CDF,PANTHER,9 - Miscellaneous,5/1/2013
Carson City District - BLM,RED ROCK,14 - Unknown / Unidentified,7/1/2013
Kern County,GRAND,14 - Unknown / Unidentified,5/16/2013
San Bernardino National Forest,HATHAWAY,4 - Campfire,6/6/2013
Sonoma - Lake - Napa CDF,MCCABE,14 - Unknown / Unidentified,11/22/2013
Riverside CDF,SUMMIT,14 - Unknown / Unidentified,5/1/2013
Santa Clara CDF,MORGAN,9 - Miscellaneous,9/8/2013
San Diego CDF,FELIPE,18 - Escaped Prescribed Burn,5/23/2013
Butte CDF,SWEDES,14 - Unknown / Unidentified,8/6/2013
Marine camp Pendleton,DELUZ,14 - Unknown / Unidentified,10/5/2013
Sequoia National Forest,FISH,1 - Lightning,8/23/2013
Los Padres National Forest,WHITE,4 - Campfire,5/27/2013
Sierra National Forest,CARSTENS,4 - Campfire,6/16/2013
Cleveland National Forest,FALLS,9 - Miscellaneous,8/5/2013
San Diego CDF,GENERAL,9 - Miscellaneous,5/26/2013
Stanislaus National Forest,POWER,4 - Campfire,8/5/2013
Los Padres National Forest,PFEIFFER,9 - Miscellaneous,12/16/2013
Kern County,RANCHO,3 - Smoking,7/18/2013
Sequoia - Kings Canyon NP,WINDY PEAK,1 - Lightning,8/23/2013
Los Angeles County,LAKE,3 - Smoking,5/17/2013
Kern County,WATER,14 - Unknown / Unidentified,7/23/2013
Six Rivers National Forest,DANCE,7 - Arson,7/29/2013
Eldorado National Forest,KYBURZ,9 - Miscellaneous,7/8/2013
San Bernardino CDF,MILL,7 - Arson,6/28/2013
San Bernardino National Forest,GORGONIO,14 - Unknown / Unidentified,5/4/2013
Los Padres National Forest,BRANCH,9 - Miscellaneous,6/1/2013
Madera - Mariposa CDF,ROLLING,10 - Vehicle,6/16/2013
Santa Clara CDF,KIRKER,11 - Powerline,7/1/2013
Sequoia National Forest,RIVER,9 - Miscellaneous,9/10/2013
San Luis National Wildlife Refuge,FREMONT,14 - Unknown / Unidentified,5/26/2013
Sequoia National Forest,TENANT,1 - Lightning,8/18/2013
San Bernardino CDF,RIVER,14 - Unknown / Unidentified,2/24/2013
San Bernardino National Forest,GOBBLERS,1 - Lightning,8/19/2013
Sequoia National Forest,SHIRLEY,1 - Lightning,8/18/2013
Riverside CDF,JURUPA,14 - Unknown / Unidentified,2/28/2013
Monterey - San Benito CDF,TRES PINOS,2 - Equipment Use,5/3/2013
Plumas National Forest,RIDGE/HEIGHTS,1 - Lightning,8/18/2013
San Diego CDF,BORDER2,14 - Unknown / Unidentified,5/22/2013
Sonoma - Lake - Napa CDF,BECKS,5 - Debris,1/22/2013
Mendocino National Forest,HIGH GLADE,2 - Equipment Use,11/23/2013
Sonoma - Lake - Napa CDF,PUTAH,14 - Unknown / Unidentified,10/3/2013
Butte CDF,SUMMIT,9 - Miscellaneous,10/4/2013
Cleveland National Forest,LYON,9 - Miscellaneous,9/9/2013
CA Desert District - BLM,HIGHLINE,1 - Lightning,4/1/2013
Nevada - Yuba - Placer CDF,BEALE AFB GRASS VALLEY GA,14 - Unknown / Unidentified,9/10/2013
Angeles National Forest,SHARP,7 - Arson,8/8/2013
Tuolumne - Calaveras CDF,SHELTON,2 - Equipment Use,5/30/2013
Mendocino National Forest,DAVES,1 - Lightning,6/10/2013
Butte CDF,LONE,2 - Equipment Use,6/3/2013
Los Padres National Forest,TASSAJARA,4 - Campfire,7/17/2013
Los Angeles County,MADRE,5 - Debris,9/23/2013
Tehama - Glenn CDF,306,5 - Debris,5/1/2013
Angeles National Forest,BEE,9 - Miscellaneous,8/9/2013
Yosemite National Park,FORBIDDEN,1 - Lightning,5/9/2013
Mendocino CDF,FOSTER,5 - Debris,5/3/2013
Sonoma - Lake - Napa CDF,SILVERADO_2,14 - Unknown / Unidentified,11/21/2013
Madera - Mariposa CDF,GOLD,14 - Unknown / Unidentified,4/30/2013
Shasta - Trinity CDF,WARNER 1-1,1 - Lightning,8/19/2013
Nevada - Yuba - Placer CDF,PFE,14 - Unknown / Unidentified,6/13/2013
Sequoia National Forest,ANGORA,1 - Lightning,9/8/2013
Sonoma - Lake - Napa CDF,LAKEVILLE,2 - Equipment Use,7/26/2013
Riverside CDF,REDLANDS,14 - Unknown / Unidentified,7/16/2013
San Diego CDF,OTAY,14 - Unknown / Unidentified,5/3/2013
Santa Monica Mtns National Recreation Area,OLD,10 - Vehicle,8/18/2013
Sonoma - Lake - Napa CDF,CRANE,14 - Unknown / Unidentified,10/4/2013
Tuolumne - Calaveras CDF,MURPHY,14 - Unknown / Unidentified,6/23/2013
Ventura County,GOODENOUGH,11 - Powerline,4/8/2013
Los Angeles County,MAGIC,2 - Equipment Use,5/28/2013
Cleveland National Forest,PEUTZ,9 - Miscellaneous,7/2/2013
