UNIT_ID,FIRE_NAME,ALARM_DATE,CAUSE
Tulare County,DINELY,6/7/2017,2 - Equipment Use
Tulare County,ROADRUNNER,7/30/2017,7 - Arson
Tulare County,ELEPHANT 2,7/20/2017,7 - Arson
Tehama - Glenn CAL FIRE,TEHAMA,10/30/2017,10 - Vehicle
Tuolumne - Calaveras CAL FIRE,JACKSONVILLE,7/29/2017,14 - Unknown / Unidentified
Tuolumne - Calaveras CAL FIRE,MARIA,7/17/2017,14 - Unknown / Unidentified
Tuolumne - Calaveras CAL FIRE,TWIST,7/30/2017,14 - Unknown / Unidentified
Tuolumne - Calaveras CAL FIRE,POINT,10/9/2017,11 - Powerline
San Luis Obispo CAL FIRE,LUCY,6/14/2017,11 - Powerline
San Luis Obispo CAL FIRE,OLIVE,7/24/2017,10 - Vehicle
San Luis Obispo CAL FIRE,STONE,7/9/2017,2 - Equipment Use
San Luis Obispo CAL FIRE,ALAMO,7/6/2017,10 - Vehicle
San Luis Obispo CAL FIRE,HILL,6/26/2017,10 - Vehicle
San Luis Obispo CAL FIRE,HUASNA,9/20/2017,2 - Equipment Use
San Luis Obispo CAL FIRE,POLY,9/26/2017,2 - Equipment Use
San Luis Obispo CAL FIRE,CAMP,5/15/2017,9 - Miscellaneous
San Luis Obispo CAL FIRE,OLIVE,5/2/2017,10 - Vehicle
Siskiyou CAL FIRE,FAY,7/5/2017,9 - Miscellaneous
Siskiyou CAL FIRE,HILL,7/29/2017,2 - Equipment Use
Shasta - Trinity CAL FIRE,LAVERNE,7/18/2017,9 - Miscellaneous
Shasta - Trinity CAL FIRE,BERRY,9/12/2017,1 - Lightning
Santa Clara CAL FIRE,CORAL,9/19/2017,14 - Unknown / Unidentified
Santa Clara CAL FIRE,BALLY,9/3/2017,14 - Unknown / Unidentified
Santa Clara CAL FIRE,FELIPE,7/10/2017,14 - Unknown / Unidentified
Santa Clara CAL FIRE,LARIAT,7/11/2017,14 - Unknown / Unidentified
Santa Barbara County,AIR,9/25/2017,2 - Equipment Use
Santa Barbara County,CEBRIAM,6/25/2017,11 - Powerline
Santa Barbara County,RUCKER,9/29/2017,10 - Vehicle
Santa Barbara County,WASIOJA,5/20/2018,11 - Powerline
Riverside CAL FIRE,LAMB,5/25/2017,14 - Unknown / Unidentified
Riverside CAL FIRE,OPERA,4/30/2017,14 - Unknown / Unidentified
Riverside CAL FIRE,ROSE,7/31/2017,2 - Equipment Use
Riverside CAL FIRE,PALMER,9/2/2017,9 - Miscellaneous
Riverside CAL FIRE,MIAS,8/14/2017,11 - Powerline
Riverside CAL FIRE,BLAINE,8/13/2017,14 - Unknown / Unidentified
Orange County,CANYON I,9/25/2017,9 - Miscellaneous
Orange County,CANYON II,10/9/2017,5 - Debris
Nevada - Yuba - Placer CAL FIRE,PLEASANT,8/30/2017,14 - Unknown / Unidentified
Nevada - Yuba - Placer CAL FIRE,BEALE,8/20/2017,11 - Powerline
Nevada - Yuba - Placer CAL FIRE,LOBO,10/8/2017,14 - Unknown / Unidentified
San Diego CAL FIRE,LILAC,12/7/2017,14 - Unknown / Unidentified
San Diego CAL FIRE,JENNINGS 2,7/11/2017,10 - Vehicle
San Diego CAL FIRE,GATE,5/20/2017,9 - Miscellaneous
San Diego CAL FIRE,ECLIPSE,8/21/2017,14 - Unknown / Unidentified
San Diego CAL FIRE,BORDER 6,9/1/2017,14 - Unknown / Unidentified
Madera - Mariposa CAL FIRE,PEAK,9/3/2017,10 - Vehicle
Madera - Mariposa CAL FIRE,OAKWOOD,6/10/2017,9 - Miscellaneous
Madera - Mariposa CAL FIRE,MISSION,9/3/2017,11 - Powerline
Madera - Mariposa CAL FIRE,DETWILER,7/16/2017,9 - Miscellaneous
Madera - Mariposa CAL FIRE,BEN,6/28/2017,10 - Vehicle
Madera - Mariposa CAL FIRE,WRIGHT,5/12/2017,14 - Unknown / Unidentified
Madera - Mariposa CAL FIRE,SPRING,7/3/2017,2 - Equipment Use
Madera - Mariposa CAL FIRE,CORONADO,8/13/2017,10 - Vehicle
Sonoma - Lake - Napa CAL FIRE,CANYON,8/11/2017,14 - Unknown / Unidentified
Sonoma - Lake - Napa CAL FIRE,TIMM,10/2/2017,14 - Unknown / Unidentified
Sonoma - Lake - Napa CAL FIRE,WINTER,7/6/2017,14 - Unknown / Unidentified
Sonoma - Lake - Napa CAL FIRE,NUNS,10/8/2017,14 - Unknown / Unidentified
Sonoma - Lake - Napa CAL FIRE,PRESSLEY,10/8/2017,14 - Unknown / Unidentified
Sonoma - Lake - Napa CAL FIRE,37,10/8/2017,14 - Unknown / Unidentified
Sonoma - Lake - Napa CAL FIRE,YOUNG,10/8/2017,14 - Unknown / Unidentified
Sonoma - Lake - Napa CAL FIRE,TUBBS,10/8/2017,14 - Unknown / Unidentified
Sonoma - Lake - Napa CAL FIRE,POCKET,10/8/2017,14 - Unknown / Unidentified
Sonoma - Lake - Napa CAL FIRE,ATLAS,10/8/2017,14 - Unknown / Unidentified
Sonoma - Lake - Napa CAL FIRE,SULPHER,10/9/2017,14 - Unknown / Unidentified
Los Angeles County,PLACERITA,6/25/2017,7 - Arson
Los Angeles County,LAKE,6/17/2017,14 - Unknown / Unidentified
Los Angeles County,GORMAN,7/28/2017,14 - Unknown / Unidentified
Los Angeles County,CREEK,12/5/2017,14 - Unknown / Unidentified
Los Angeles County,RYE,12/5/2017,14 - Unknown / Unidentified
Kern County,MING,5/20/2017,14 - Unknown / Unidentified
Kern County,HAWK,7/7/2017,14 - Unknown / Unidentified
Kern County,HUDSON,7/18/2017,14 - Unknown / Unidentified
Kern County,HILL CREST,6/8/2017,14 - Unknown / Unidentified
Northern CA District - BLM,R-4 PARSNIP,8/30/2017,1 - Lightning
Northern CA District - BLM,WEST,4/1/2017,5 - Debris
Northern CA District - BLM,LONG VALLEY,7/11/2017,10 - Vehicle
Northern CA District - BLM,R-9 SHINN,7/24/2017,1 - Lightning
Northern CA District - BLM,R-4 RANCH,8/9/2017,1 - Lightning
Northern CA District - BLM,R-5 STONEY,8/22/2017,1 - Lightning
Northern CA District - BLM,PEG,8/26/2017,9 - Miscellaneous
Northern CA District - BLM,LONE,8/29/2017,1 - Lightning
Northern CA District - BLM,MUD,8/29/2017,1 - Lightning
Northern CA District - BLM,R-5 SPANISH,8/29/2017,1 - Lightning
Northern California District BLM,SLINKARD,8/29/2017,1 - Lightning
Madera - Mariposa CAL FIRE,EASTMAM,9/18/2017,11 - Powerline
Los Angeles City FD,SKIRBALL,12/6/2017,4 - Campfire
Riverside CAL FIRE,MANZANITA,6/26/2017,10 - Vehicle
Fresno-Kings CAL FIRE,MURPHY,9/19/2017,2 - Equipment Use
Fresno-Kings CAL FIRE,TUMEY,4/29/2017,9 - Miscellaneous
Fresno-Kings CAL FIRE,GARZA,7/9/2017,10 - Vehicle
Fresno-Kings CAL FIRE,JAYNE,4/20/2017,2 - Equipment Use
Fresno-Kings CAL FIRE,PARK,7/17/2017,2 - Equipment Use
Fresno-Kings CAL FIRE,ELM,5/18/2017,2 - Equipment Use
Fresno-Kings CAL FIRE,DERRICK,7/2/2017,14 - Unknown / Unidentified
Fresno-Kings CAL FIRE,CREEK,6/23/2017,5 - Debris
Fresno-Kings CAL FIRE,COALINGA,8/30/2017,2 - Equipment Use
Fresno-Kings CAL FIRE,FLAT,8/26/2017,2 - Equipment Use
Shasta-Trinity National Forest,FORK,8/7/2017,1 - Lightning
Shasta-Trinity National Forest,HELENA,8/30/2017,9 - Miscellaneous
Tahoe National Forest,CHILCOOT,8/6/2017,1 - Lightning
Tahoe National Forest,ELEPHANT,7/29/2017,1 - Lightning
Stanislaus National Forest,MCCORMICK,8/18/2017,1 - Lightning
Stanislaus National Forest,CREEK ,9/3/2017,1 - Lightning
Stanislaus National Forest,DOUGLAS,7/3/2017,1 - Lightning
Stanislaus National Forest,BUMMERS,9/11/2017,1 - Lightning
Stanislaus National Forest,WILLOW ,8/18/2017,1 - Lightning
Six Rivers National Forest,BURNEY,7/26/2017,1 - Lightning
Six Rivers National Forest,DUTCHMAN,8/7/2017,1 - Lightning
Six Rivers National Forest,FORKS,7/25/2017,1 - Lightning
Six Rivers National Forest,HAYPRESS,8/10/2017,1 - Lightning
Six Rivers National Forest,MARBLE,7/19/2017,9 - Miscellaneous
Six Rivers National Forest,RIVERS,10/14/2017,5 - Debris
Six Rivers National Forest,UKONOM,7/25/2017,1 - Lightning
Six Rivers National Forest,WILLIE,8/7/2017,1 - Lightning
Sequoia National Forest,SCHAEFFER,6/24/2017,1 - Lightning
Sequoia National Forest,PIER,8/29/2017,7 - Arson
Sequoia National Forest,CALDWELL,9/1/2017,1 - Lightning
Sequoia National Forest,LION,9/25/2017,1 - Lightning
Sequoia National Forest,HIGHWAY,6/18/2017,9 - Miscellaneous
Sequoia National Forest,GARDEN,7/30/2017,2 - Equipment Use
Sequoia National Forest,BELL,6/27/2017,9 - Miscellaneous
Sierra National Forest,CROWN,9/7/2017,1 - Lightning
Sierra National Forest,BUTTE,8/7/2017,1 - Lightning
Sierra National Forest,RAILROAD,8/29/2017,9 - Miscellaneous
Shasta-Trinity National Forest,BUCK,9/12/2017,1 - Lightning
Plumas National Forest,POSLIN,8/6/2017,1 - Lightning
Plumas National Forest,SQUIRREL,9/27/2017,7 - Arson
Plumas National Forest,MINERVA 5,7/29/2017,7 - Arson
Plumas National Forest,EUREKA,9/5/2017,1 - Lightning
Los Padres National Forest,RED,8/2/2017,1 - Lightning
Los Padres National Forest,WHITTIER,7/8/2017,9 - Miscellaneous
Ventura County,THOMAS,12/4/2017,9 - Miscellaneous
Klamath National Forest,CEDAR,8/8/2017,1 - Lightning
Klamath National Forest,DEEP,9/7/2017,1 - Lightning
Klamath National Forest,GARDEN,8/9/2017,1 - Lightning
Klamath National Forest,ISLAND,6/26/2017,1 - Lightning
Klamath National Forest,LITTLE BUCK,9/7/2017,1 - Lightning
Klamath National Forest,OAK,8/11/2017,1 - Lightning
Klamath National Forest,WALLOW,8/11/2017,1 - Lightning
Eldorado National Forest,TABLE,9/8/2017,1 - Lightning
Cleveland National Forest,LOST,7/22/2017,4 - Campfire
Cleveland National Forest,WILDOMAR,10/26/2017,10 - Vehicle
San Bernardino National Forest,HOLCOMB,6/19/2017,9 - Miscellaneous
San Bernardino National Forest,BRIDGE 2,7/14/2017,9 - Miscellaneous
San Bernardino National Forest,MART,6/27/2017,7 - Arson
Modoc National Forest,DOBE,7/13/2017,1 - Lightning
Modoc National Forest,RIMROCK,7/24/2017,1 - Lightning
Modoc National Forest,COVE,7/25/2017,1 - Lightning
Modoc National Forest,CLARK,7/26/2017,1 - Lightning
Modoc National Forest,STEELE,7/26/2017,1 - Lightning
Modoc National Forest,LAKE,7/27/2017,1 - Lightning
Modoc National Forest,CHALK,8/7/2017,1 - Lightning
Modoc National Forest,JONES,8/23/2017,1 - Lightning
Modoc National Forest,BOLES,8/23/2017,1 - Lightning
Modoc National Forest,CANTRALL,7/25/2017,1 - Lightning
Siskiyou CAL FIRE,BATTLE,6/28/2017,2 - Equipment Use
Inyo National Forest,GRANT,7/31/2017,1 - Lightning
Inyo National Forest,INDIAN,8/3/2017,1 - Lightning
Butte CAL FIRE,SKYWAY,6/16/2017,10 - Vehicle
Butte CAL FIRE,CHEROKEE,10/8/2017,11 - Powerline
Butte CAL FIRE,PONDEROSA,8/29/2017,7 - Arson
Butte CAL FIRE,WALL,7/7/2017,2 - Equipment Use
Butte CAL FIRE,SODA,9/28/2017,1 - Lightning
Butte CAL FIRE,HONEY,10/9/2017,11 - Powerline
San Mateo - Santa Cruz CAL FIRE,BEAR,10/16/2017,7 - Arson
Monterey - San Benito CAL FIRE,PARKFIELD,7/8/2017,11 - Powerline
San Bernardino CAL FIRE,OAK,11/29/2017,10 - Vehicle
San Bernardino CAL FIRE,HIGH,7/23/2017,9 - Miscellaneous
San Bernardino CAL FIRE,BRYANT 2,8/3/2017,7 - Arson
Amador - El Dorado CAL FIRE,LATROBE,7/26/2017,5 - Debris
Amador - El Dorado CAL FIRE,RANCH,7/26/2017,2 - Equipment Use
Amador - El Dorado CAL FIRE,FRENCH,9/17/2017,14 - Unknown / Unidentified
Amador - El Dorado CAL FIRE,LARGO,7/30/2017,7 - Arson
Nevada - Yuba - Placer CAL FIRE,CASCADE,10/8/2017,14 - Unknown / Unidentified
Yosemite National Park,EMPIRE,7/31/2017,1 - Lightning
Los Angeles City FD,LA TUNA,9/1/2017,14 - Unknown / Unidentified
Modoc National Forest,PARKER2 ,8/3/2017,1 - Lightning
Yosemite National Park,SOUTH FORK,8/13/2017,1 - Lightning
Sonoma - Lake - Napa CAL FIRE,REDWOOD VALLEY,10/8/2017,14 - Unknown / Unidentified
Rouge River- Siskiyou,ABNEY,8/10/2017,1 - Lightning
Rouge River- Siskiyou,KNOX,8/11/2017,1 - Lightning
Camp Pendleton Marine Corps Base,CRISTIANITOS,6/28/2017,9 - Miscellaneous
